Number,Area,Feret,MinFeret
1,1412,69.92138442565336,23.720365463139853
2,2289,111.08555261599052,26.114893275206324
3,1963,91.96738552334735,28.2842712474619
4,2362,109.00458705944443,27.938155639564695
5,1932,91.0,27.691694604758204
6,2191,92.41753080449618,29.024127893874777
7,2945,132.51792331605563,28.268171211833167
8,1443,68.00735254367721,27.0557238883374
9,1499,78.54934754662193,25.466240628814962
10,2399,95.2102935611481,30.97127701597078
11,1307,69.63476143421474,24.9309816524309
12,1989,88.60022573334675,26.95288027946911
13,3200,137.87313008704777,29.748059969089383
14,1930,94.02127418834527,29.249649544204324
15,1814,81.98780397107853,28.835621534951017
16,2700,121.75795661885921,28.393127087550052
17,1452,82.92767933567175,23.201375413161216
18,1617,79.20227269466452,26.563132345414385
19,3380,161.22654868228122,27.82756879257799
20,2592,113.52973178863765,29.136692340098673
21,1805,89.44271909999159,25.0
22,1222,62.6418390534633,24.0
23,2371,105.77334257741882,28.67542455149192
24,1500,78.81624198095213,26.15350611969533
25,1716,85.0,27.720504972656727
26,1713,83.00602387778854,26.193847503923962
27,2246,98.71676655968832,28.318100556649675
28,2744,122.0,27.451515769374737
29,1528,74.06078584514209,26.853657658376825
30,1097,62.39390995922599,21.865442162819615
31,1128,60.41522986797286,24.48673634989785
