Number,Area,Feret,MinFeret
1,1505,76.47875521999558,27.248099447718328
2,1793,92.65527507918802,26.97687806396439
3,1083,62.297672508690084,21.96500713547661
4,1374,67.468511173732,25.0
5,1190,66.88796603276258,26.053224211281005
6,1736,73.05477397131553,30.62773850219364
7,2049,99.12618221237011,29.96331089849718
8,1129,68.47627326307996,23.554865191890716
9,1675,88.75246475450696,26.500534909987458
10,1457,72.47068372797375,28.347839423843222
11,2250,104.78549517943789,28.658621896325368
12,1503,83.86894538504703,25.091145950225975
13,1324,70.26378868236469,25.951311878887626
14,1404,67.67569726275453,28.91621588285035
15,1069,61.98386886924694,20.0
16,1989,86.33075929238663,29.530335656438115
17,2141,108.63240768757728,27.38728997186376
18,1072,68.35202996254024,21.37186834969645
19,3538,95.60334722173695,60.94256585112197
20,1784,96.5090669315583,22.0
21,1438,72.3671196055225,24.0
22,1796,93.15041599477696,25.97184096304103
23,1816,80.32434251209281,28.057715775420647
24,2591,123.69316876852982,27.5118156434649
25,1353,69.1158447825099,27.784980738506466
26,1252,67.7421582177598,26.89527860394083
27,2224,106.6255128944288,28.346031578237085
28,2195,97.98469268207153,26.856678433316883
29,1003,60.4648658313239,22.922346351631433
30,750,45.60701700396552,23.656777520968063
31,2402,124.61942063739504,25.516209026360542
32,1954,90.80198235721508,29.335569020492812
33,1312,69.35416353759881,26.258018499662082
34,1277,68.01470429252781,25.630342910369254
35,1540,79.19595949289332,27.40500835173419
36,2067,102.44998779892558,27.166815016675933
37,1032,60.207972893961475,25.924844473508607
38,1185,65.60487786742691,24.31080797948486
39,2100,103.16006979447037,27.591528496062242
40,1391,76.40026177965623,26.233274926623174
41,2096,100.44899203078147,29.194905693007165
42,1423,69.1158447825099,26.832815729997474
43,1060,60.0,25.38654113084796
44,1277,79.6994353806851,22.693091558762593
45,1706,85.9127464349732,27.271855425706843
46,4077,184.36105879496353,29.59683221333358
47,1518,69.06518659932803,29.42074594517962
48,929,56.356011214421486,22.86517474711742
49,3768,164.80594649465777,30.74859624295195
50,3525,150.20652449211386,29.99883052903898
51,3068,122.97154142320898,30.586763375823704
52,2347,110.43550153822818,27.3909522899841
53,1759,80.65977932030313,29.8
54,982,62.609903369994115,22.21999499643629
55,1562,76.89603370785778,26.678918753996626
56,6306,247.68528418135784,35.04398735895649
57,2046,100.89598604503551,29.360667235057942
58,1264,53.85164807134504,29.0
59,1488,70.3420215802759,24.464707597030856
60,926,62.81719509815764,17.0
61,1336,68.11754546370561,31.8811831032911
62,792,49.678969393496885,22.82239116441436
63,2410,109.80892495603443,30.8
64,748,45.803929962395145,24.406808633910078
65,1091,63.34824385884742,19.0
66,1623,82.76472678623425,24.0
67,1936,91.28526715741155,29.908236318000757
68,2476,107.93516572461452,30.717687997488063
69,1301,70.00714249274856,25.514557904002075
70,951,50.60632371551998,27.0
71,2269,116.04309544302927,27.577164466275352
72,1031,63.89053137985315,18.726138205216156
73,1902,97.12878049270464,27.482910050203675
74,2315,99.45853407325085,32.18686518403437
75,972,58.69412236331676,24.041630560342615
76,729,44.94441010848846,23.41338353372723
77,1766,75.96051605933177,30.04997678821692
78,1210,62.48199740725323,26.247560386243677
79,1872,77.46612162745726,32.10570775716111
80,1416,64.66065264130884,29.896372747346387
81,980,57.8013840664737,25.383654128340478
82,1902,89.8276126811795,28.991378028648448
83,4014,177.48521065147935,30.61738337161459
84,1330,63.15853069855251,30.31695312954162
85,974,54.67174773134658,26.268966457135587
86,995,58.25804665451803,25.6
87,1115,56.824290580701486,27.195587877448062
88,1373,77.38862965578342,25.69867412987131
89,1096,57.584720195551874,25.0
90,1147,57.697486947006624,26.982376630842744
91,1776,101.20276676059801,23.480384190956432
92,959,55.362442142665635,20.0
93,942,46.238512086787566,26.0
94,1234,68.65857557508748,21.0
95,968,55.94640292279746,25.046805499971942
96,1245,72.34638899074369,24.555554311087185
97,733,55.44366510251645,21.23059514820541
98,1633,92.28217596047462,24.596747752497684
99,762,49.24428900898052,21.0
100,2212,104.34557968596465,25.984625055336476
101,1132,62.81719509815764,20.0
102,3314,138.00362314084367,32.830947430170944
103,2177,105.38026380684383,24.09169943187304
104,1212,71.02816342831905,25.969651880453586
105,841,52.20153254455275,18.0
106,1522,72.78049189171504,24.0
107,1512,74.0,26.074294860245335
108,1816,81.9084855189009,28.26389923559734
109,923,43.657759905886145,26.0
