Number,Area,Feret,MinFeret
1,1684,79.1580697086532,28.44661238350818
2,2001,98.08159868191383,27.64833769366775
3,1625,80.22468448052632,28.818768203693406
4,1283,73.68174807915459,24.122284621996638
5,1466,73.16419889536138,28.50184256475007
6,738,66.40783086353596,22.0
7,1946,77.12976079309465,33.259505261886964
8,2347,105.54619841567009,31.2102706226422
9,1492,80.62257748298549,25.292665634749586
10,1940,92.0869154657707,27.861098771266505
11,1780,81.93289937503738,30.342100733520034
12,2579,111.31936040060597,30.96
13,1838,90.13878188659973,26.2
14,1589,77.4919350642375,27.89159687917829
15,1628,72.20110802473879,30.810226759839026
16,1237,66.76076692189807,23.0
17,2282,91.39474820797966,31.728851224083108
18,2451,113.75851616472501,29.331207519952542
19,1291,73.49829930005184,24.19218945083999
20,2025,95.42536350467836,28.338179738412254
21,2076,106.56922632730333,25.0
22,1920,81.27115109311545,30.30262481422971
23,1703,85.47514258543241,28.0
24,2138,100.08995953640904,28.62826914101211
25,2093,87.66413177577246,30.13332818075209
26,2986,133.76471881628578,29.725410005582763
27,1625,75.15317691222374,30.010651030221453
28,1499,71.02816342831905,28.983260889083994
29,2487,104.39348638684312,29.290166789241944
30,2462,110.05453193758083,30.272614225894422
31,1472,79.07591289387686,25.602857723182886
32,1153,66.21933252457322,26.081018235397213
33,2887,133.70115930686615,28.032899220702447
34,2257,96.79876032264049,31.243013909563853
35,1532,72.18032973047436,28.692329855400732
36,2074,98.49365461794989,29.698484809834994
37,1582,72.80109889280519,27.919698239690227
38,2551,114.62111498323509,29.915608002899443
39,1303,63.00793600809346,28.003182280265616
40,1460,71.56116265125938,26.80748980106049
41,1973,100.16985574512923,28.968869079108757
42,2477,113.78049041905207,30.20158861808729
43,2415,109.01834707974616,31.11269837220809
44,1683,73.7360156233031,29.490392637578633
45,1334,67.7421582177598,27.78277079308643
46,1647,94.72592042308166,25.157564584996326
47,1102,76.83749084919418,25.156451634193747
48,2041,89.9388681271896,29.38124548841058
49,4540,189.97368238785077,32.08718055490858
50,1738,71.28113354878694,32.07888315583239
51,1422,80.2807573457052,24.508815896798627
52,1208,66.76076692189807,24.87352089115032
53,4227,174.04022523543227,32.78415202540644
54,3979,153.44705927452634,32.09021913950942
55,1055,69.35416353759881,23.070460633592774
56,3403,128.4562182223967,32.77118499593409
57,2674,115.66330446602328,29.68054940971611
58,1347,76.24303246854758,24.882990269414453
59,2034,83.00602387778854,31.80749881917903
60,1790,80.0812087820857,28.566008819092602
61,6932,251.38217916153087,37.08830677940286
62,2396,105.4229576515476,29.360667235057942
63,1440,64.77653896280658,30.0
64,1298,80.50465825031493,22.708877665256377
65,1700,76.10519036176179,28.151031546579514
66,1319,87.14355971613737,19.86101395346862
67,1478,74.4043009509531,33.03335212994855
68,1178,67.23094525588644,25.917101380340917
69,1830,102.80077820717118,24.999602437303356
70,2838,118.22436297142819,32.8
71,1051,56.61271941887264,26.767078110773227
72,2759,125.4312560727987,31.737976371187003
73,1362,76.53103945458993,21.0
74,1903,92.65527507918802,26.0
75,2836,112.8007092176286,32.89938688768536
76,1525,74.0,27.59903591377429
77,1172,56.04462507680822,29.415642097360376
78,2625,119.00420160649792,29.664158613748413
79,1306,75.95393340703298,24.54548071658035
80,2298,110.4943437466371,30.003807732315483
81,1148,77.33692520394123,26.162950903902257
82,2578,104.5609869884557,35.0
83,1041,61.84658438426491,25.466240628814962
84,1518,69.42621983083913,28.988218842888024
85,2037,83.95236744726142,31.943897639471427
86,2155,80.80222769206304,34.43038378283966
87,1681,69.33974329343886,32.05555522354363
88,1324,74.21590126111789,28.02760111194568
89,2205,93.38094023943002,31.11269837220809
90,4418,181.6865432551349,32.167953028946975
91,1317,63.89053137985315,28.925183368844444
92,958,70.3420215802759,19.798540245323576
93,1585,72.27724399837061,32.197636634977556
94,1424,74.94664769020693,27.650721696367814
95,1695,88.11923740024082,27.601909954513836
96,2769,134.12307780542466,33.13502756620962
97,1422,69.6419413859206,28.420336552427834
98,1169,62.369864518050704,22.75797474215667
99,2055,111.44954015158609,26.266234022618537
100,1393,76.6550715869472,29.0
101,1503,82.38931969618392,23.480821733884323
102,1284,72.44998274671983,27.504669591090682
103,1582,80.2122185206219,27.330408330506064
104,1746,99.12618221237011,25.501717667509077
105,1966,97.63708311906906,26.385602134497518
106,989,58.249463516842795,23.9436839270819
107,2477,111.64676439557037,29.04349135768464
108,1424,74.33034373659252,25.05689416518894
109,3714,142.08800090085018,35.028511634363205
110,2423,111.11255554616679,26.046513795775816
111,1651,83.86298349093002,28.71316676972336
112,531,57.245087125446844,17.602958346226224
113,1072,61.66036003787198,20.0
114,1740,79.63039620647382,26.0
115,1741,80.23091673413684,27.91752559404428
116,2089,89.62700485902673,30.231639055797157
117,850,64.38167441127949,26.87005768508881
118,1206,66.61080993352356,28.0
119,875,69.6419413859206,22.0
