Number,Area,Feret,MinFeret
1,622,38.28837943815329,27.456258919345768
2,4235,197.60819821049935,29.04923515785812
3,2290,95.77577981932593,30.89291850559127
4,2700,116.09048195265622,30.10956472984332
5,2239,97.14422267947796,29.660638816571915
6,2459,97.86725703727473,30.824080566102992
7,3302,140.4314779527724,30.63017380247476
8,1662,73.24616030891995,28.80136752536341
9,1725,81.60882305241266,27.406525629105627
10,2674,99.6393496566492,32.8534370314761
11,1593,82.09750300709517,27.370015829324284
12,2296,95.75489543621255,29.320107996955546
13,3559,144.25671561490648,31.648089963267466
14,1357,106.66770832824712,19.429725964646266
15,2211,95.88013350011565,31.939598166452924
16,2085,85.88364221433555,31.1003377993866
17,3098,126.57013865837392,30.97892973302336
18,1754,89.06739021662193,25.765737958826406
19,1877,83.773504164503,29.044240285880207
20,3873,167.70509831248424,30.14921794119631
21,2933,119.85407794480753,31.16359267680119
22,2071,98.41239759298622,27.635351810376104
23,1430,69.46221994724903,27.124839595413704
24,2691,113.78049041905207,31.49974526084077
25,1742,81.40024569987489,28.617003576825773
26,1991,87.92041856133307,29.80804108465904
27,1947,85.7962703152066,28.134132504214623
28,2487,102.77159140540736,30.248621878176763
29,616,70.09279563550022,14.300277106098445
30,3120,132.23085872821065,29.91017493245428
31,1806,77.3692445355388,28.963458827661853
32,1376,69.87131027825369,25.975039994246455
33,1315,65.7419196555744,26.665850562224648
